"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.boot2.MaybeAddSpringBootStarterActuator","8","2","18765","3936.0","3907","11743","3168.0","3106"
"org.openrewrite.java.testing.junit5.UseMockitoExtension","8","2","13995","3296.0","3296","20699","8640.0","8416"
"org.openrewrite.java.testing.mockito.ReplacePowerMockito","8","2","12726","2912.0","2896","20178","4288.0","4178"
"org.openrewrite.java.testing.junit5.MigrateAssumptions","8","2","0","0.0","0","22193","13280.0","13125"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_2","8","2","8537","2672.0","2635","7094","3184.0","3196"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_3","8","2","8766","3184.0","3186","8837","3168.0","3176"
"org.openrewrite.java.RemoveAnnotation","8","2","0","0.0","0","1629256","278520.0","267793"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4","8","2","9990","3824.0","3758","7864","3312.0","3235"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5","8","2","10016","3312.0","3286","53092","49120.0","47560"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_0","8","2","9980","2928.0","2886","7052","3184.0","3146"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_1","8","2","8899","2936.0","2915","8407","3296.0","3206"
"org.openrewrite.java.spring.boot2.MigrateLocalServerPortAnnotation","8","2","0","0.0","0","111760","45040.0","43612"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","8","2","19268","6128.0","6012","16281","10736.0","10289"
